feature,importance_XGBoost,importance_LightGBM,importance_RandomForest,importance_HistGradientBoosting,mean_importance
hydrophobic_black_carbon_aerosol_mixing_ratio__max,0.046581805,0.0073981142209349334,0.0,0.037719109433183774,0.022924757101617142
ozone_mass_mixing_ratio__max,0.056212798,0.01643033261470896,0.0,0.01843398727464223,0.022769279412578655
temperature__cumsum,0.040744305,0.015396289364948267,0.026737512353005134,0.008074205140055756,0.022738077878747896
h2o2__last6_mean,0.012095239,0.021320829005777735,0.0,0.0564112387908972,0.022456826702527098
hno3__last6_mean,0.05041622,0.013330034464425072,0.0,0.026061517122415587,0.022451942891591317
sea_salt_aerosol_003_05_mixing_ratio__cumsum,0.02530956,0.054815274610403045,0.0,0.009575211817085694,0.022425011811987264
isoprene__cumsum,0.02623644,0.03666928893996089,0.0005031135679637052,0.024446030006417693,0.021963717909523003
metar_visibility_mi__cumsum,0.03433718,0.011866754017316048,0.012977943817387051,0.027179680975724266,0.02159039010209386
nitrogen_monoxide_mass_mixing_ratio__cumsum,0.07157573,0.012101530494819148,0.0003102980430023051,0.0021993809457071475,0.021546735130643962
specific_humidity__cumsum,0.026915485,0.025497403952885356,0.010779308841517721,0.022754710513912254,0.021486727086917175
ozone_mass_mixing_ratio__cumsum,0.035234593,0.008362958395179755,0.002715340399688641,0.03878120517518386,0.02127352420625723
organic_nitrates__max,0.048408367,0.012054705870700792,0.0,0.024483387108449675,0.021236614929725093
c3h8__mean,0.056570116,0.0254944994272038,0.0,0.002576000446687962,0.021160154076103194
isoprene__max,0.032175396,0.02304788241452964,0.0,0.028979545614293743,0.0210507059166435
temperature__park_wmean,0.023023637,0.015206134140578325,0.003955216276220851,0.041590098541882246,0.020943771492582162
c3h8__max,0.057233796,0.012558829254489874,0.0,0.01252061034507401,0.020578308780801843
ozone_mass_mixing_ratio__mean,0.046166353,0.030888751336541224,0.0,0.004975474325343141,0.020507644647392288
metar_hour_precipitation__max,0.024882477,0.016537267457137482,0.0011687935170198837,0.035329331091347574,0.019479467210585813
specific_humidity__last6_mean,0.026279084,0.028913073185684222,0.0034904412960353225,0.018692643337467646,0.019343810550907142
